DATE,MORTGAGE15US
01-01-2000,7.8025
01-02-2000,7.9325
01-03-2000,7.832
01-04-2000,7.8
01-05-2000,8.1825
01-06-2000,7.992
01-07-2000,7.865
01-08-2000,7.7625
01-09-2000,7.604
01-10-2000,7.47
01-11-2000,7.4175
01-12-2000,7.056
01-01-2001,6.64
01-02-2001,6.64
01-03-2001,6.508
01-04-2001,6.595
01-05-2001,6.675
01-06-2001,6.7
01-07-2001,6.6825
01-08-2001,6.5
01-09-2001,6.34
01-10-2001,6.0975
01-11-2001,6.146
01-12-2001,6.5425
01-01-2002,6.48
01-02-2002,6.375
01-03-2002,6.516
01-04-2002,6.475
01-05-2002,6.28
01-06-2002,6.105
01-07-2002,5.93
01-08-2002,5.702
01-09-2002,5.5075
01-10-2002,5.5
01-11-2002,5.464
01-12-2002,5.45
01-01-2003,5.304
01-02-2003,5.22
01-03-2003,5.065
01-04-2003,5.1175
01-05-2003,4.86
01-06-2003,4.6275
01-07-2003,4.9675
01-08-2003,5.588
01-09-2003,5.4575
01-10-2003,5.274
01-11-2003,5.2725
01-12-2003,5.204
01-01-2004,5.015
01-02-2004,4.9375
01-03-2004,4.74
01-04-2004,5.158
01-05-2004,5.6375
01-06-2004,5.66
01-07-2004,5.464
01-08-2004,5.26
01-09-2004,5.144
01-10-2004,5.115
01-11-2004,5.135
01-12-2004,5.178
01-01-2005,5.1725
01-02-2005,5.15
01-03-2005,5.464
01-04-2005,5.4075
01-05-2005,5.28
01-06-2005,5.168
01-07-2005,5.2775
01-08-2005,5.4
01-09-2005,5.358
01-10-2005,5.625
01-11-2005,5.8625
01-12-2005,5.816
01-01-2006,5.71
01-02-2006,5.86
01-03-2006,5.968
01-04-2006,6.155
01-05-2006,6.205
01-06-2006,6.306
01-07-2006,6.39
01-08-2006,6.198
01-09-2006,6.0775
01-10-2006,6.05
01-11-2006,5.956
01-12-2006,5.88
01-01-2007,5.965
01-02-2007,6.02
01-03-2007,5.884
01-04-2007,5.8825
01-05-2007,5.968
01-06-2007,6.34
01-07-2007,6.36
01-08-2007,6.234
01-09-2007,6.0475
01-10-2007,6.04
01-11-2007,5.85
01-12-2007,5.7525
01-01-2008,5.288
01-02-2008,5.44
01-03-2008,5.42
01-04-2008,5.465
01-05-2008,5.6
01-06-2008,5.91
01-07-2008,5.972
01-08-2008,6.025
01-09-2008,5.64
01-10-2008,5.892
01-11-2008,5.79
01-12-2008,5.038
01-01-2009,4.7175
01-02-2009,4.7725
01-03-2009,4.6375
01-04-2009,4.5
01-05-2009,4.515
01-06-2009,4.9025
01-07-2009,4.692
01-08-2009,4.6125
01-09-2009,4.4925
01-10-2009,4.39
01-11-2009,4.3425
01-12-2009,4.392
01-01-2010,4.435
01-02-2010,4.3675
01-03-2010,4.33
01-04-2010,4.418
01-05-2010,4.2775
01-06-2010,4.175
01-07-2010,4.04
01-08-2010,3.9075
01-09-2010,3.81
01-10-2010,3.66
01-11-2010,3.6825
01-12-2010,4.058
01-01-2011,4.0875
01-02-2011,4.215
01-03-2011,4.08
01-04-2011,4.055
01-05-2011,3.8225
01-06-2011,3.694
01-07-2011,3.68
01-08-2011,3.46
01-09-2011,3.318
01-10-2011,3.3475
01-11-2011,3.305
01-12-2011,3.246
01-01-2012,3.2
01-02-2012,3.1625
01-03-2012,3.198
01-04-2012,3.1425
01-05-2012,3.034
01-06-2012,2.9525
01-07-2012,2.845
01-08-2012,2.86
01-09-2012,2.8025
01-10-2012,2.6925
01-11-2012,2.662
01-12-2012,2.6575
01-01-2013,2.696
01-02-2013,2.7675
01-03-2013,2.7575
01-04-2013,2.66
01-05-2013,2.722
01-06-2013,3.1675
01-07-2013,3.43
